_RAJ2000,_DEJ2000,ALS,Name,RAJ,mag,n_mag,RAJ2000,DEJ2000,GLON,GLAT,Simbad,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R_x,J,H,K,u,g,r_xa,i,z,angDist
81.436667,35.646944,8338,LS   V +35  15,"(5.0, 25.0, 44.8)",8.4,V,05 25 44.8,+35 38 49,172.09,0.09,Simbad,HD  35345,81.4366006234,35.6471977244,0.0,0.0,90.0,54,05 25 44.78415,+35 38 49.9118,A,2020yCat.1350....0G,Be*,*|Be*|Em*|IR|UV|V*,-499.792,0.003,-0.0016657,0.0,B1Vpe,,0.8841,0.0289,-0.585,-2.978,0.035,0.024,90,,,,8.54,8.43,,7.935,7.851,7.648,,,,,,0.93382
71.455833,43.391944,8046,LS   V +43  13,"(4.0, 45.0, 49.4)",8.7,V,04 45 49.4,+43 23 31,161.28,-1.36,Simbad,HD  30004,71.4558008883,43.3917860248,0.0,0.0,90.0,10,04 45 49.39221,+43 23 30.4297,A,2020yCat.1350....0G,Star,*|IR|UV,-476.716,0.045,-0.0015889,2.0E-7,B3V,,1.1482,0.0442,1.656,-4.125,0.054,0.048,90,,,,8.97,8.77,,8.073,8.04,8.021,,,,,,0.574882
98.906667,32.576944,17194,HD 46552,"(6.0, 35.0, 37.6)",7.8,V,06 35 37.6,+32 34 37,181.9,11.18,Simbad,V* V459 Aur,98.9068701514,32.5768109955,0.0,0.0,90.0,26,06 35 37.64884,+32 34 36.5196,A,2020yCat.1350....0G,EB*,*|EB*|IR|UV|V*,-98.2,15.4,-3.275E-4,5.14E-5,B8,,2.4354,0.0401,-3.294,-2.101,0.041,0.033,90,,,,7.7,7.77,,7.753,7.827,7.815,,,,,,0.780429
68.068333,53.143889,7986,LS   V +53  25,"(4.0, 32.0, 16.4)",10.4,P,04 32 16.4,+53 08 38,152.5,3.45,Simbad,BD+52   840,68.0686275054,53.1437148466,0.0,0.0,90.0,7,04 32 16.47060,+53 08 37.3734,A,2020yCat.1350....0G,Star,*|IR,-90.404,1.573,-3.015E-4,5.2E-6,OB-,,0.9998,0.0166,-0.035,-1.182,0.015,0.013,90,,,,10.5,10.07,,9.107,9.002,8.954,,,,,,0.893014
83.0575,40.066111,8419,LS   V +40  47,"(5.0, 32.0, 13.8)",9.8,V,05 32 13.8,+40 03 58,169.11,3.6,Simbad,BD+39  1328,83.0577069583,40.0660826371,0.0,0.0,90.0,38,05 32 13.84967,+40 03 57.8975,A,2020yCat.1350....0G,BlueSG*,*|IR|s*b,-71.9,4.7,-2.398E-4,1.57E-5,O8.5Iab(n)(f),,0.1702,0.0183,0.224,0.843,0.023,0.016,90,,,,10.28,9.92,,8.594,8.443,8.36,,,,,,0.579259
81.65625,43.019722,8341,LS   V +42  31,"(5.0, 26.0, 37.5)",10.1,V,05 26 37.5,+43 01 11,166.06,4.34,Simbad,HD 278115,81.6563420583,43.0197105527,0.0,0.0,90.0,19,05 26 37.52209,+43 01 10.9580,A,2020yCat.1350....0G,Star,*|IR,-57.3,,-1.911E-4,,B0.5V,,0.2262,0.0176,0.138,0.311,0.024,0.017,90,,,,10.3,10.15,,9.496,9.436,9.393,,,,,,0.24578
89.973333,25.088611,8635,LS   V +25  12,"(5.0, 59.0, 53.6)",9.1,V,05 59 53.6,+25 05 19,184.93,0.78,Simbad,HD 250028,89.9731397279,25.0886335793,0.0,0.0,90.0,41,05 59 53.55353,+25 05 19.0809,A,2020yCat.1350....0G,Be*,*|Be*|Em*|IR|UV,-57.1,3.4,-1.904E-4,1.13E-5,B2:V:nep,,0.9183,0.0203,0.938,-3.201,0.023,0.017,90,,,,9.24,9.0,,8.233,8.083,8.156,,,,,,0.635356
103.905,24.007778,14665,HD 50767,"(6.0, 55.0, 37.2)",7.7,V,06 55 37.2,+24 00 28,191.72,11.56,Simbad,HD  50767,103.9049918668,24.0080285218,0.0,0.0,90.0,27,06 55 37.19805,+24 00 28.9027,A,2020yCat.1350....0G,Star,*|IR|UV,-51.4,,-1.714E-4,,B2V,,0.6737,0.0584,0.298,-1.893,0.055,0.048,90,,,,7.59,7.75,,8.087,8.201,8.251,,,,,,0.902275
73.7875,46.023889,8085,LS   V +45  17,"(4.0, 55.0, 9.0)",10.6,V,04 55 09.0,+46 01 26,160.31,1.6,Simbad,EM* MWC  477,73.7875653281,46.0241555365,0.0,0.0,90.0,16,04 55 09.01568,+46 01 26.9599,A,2020yCat.1350....0G,Em*,*|Em*|IR,-45.0,10.0,-1.501E-4,3.34E-5,B4,,0.186,0.0131,-0.216,0.008,0.017,0.014,90,,,,11.17,10.62,,8.847,8.494,8.051,,,,,,0.973328
104.13375,46.273889,16565,HR 2568,"(6.0, 56.0, 32.1)",5.8,V,06 56 32.1,+46 16 26,170.3,20.07,Simbad,* psi09 Aur,104.1335748923,46.2739988129,0.0,0.0,90.0,71,06 56 32.05797,+46 16 26.3957,A,2020yCat.1350....0G,Be*,*|Be*|Em*|IR|UV,-41.1,2.0,-1.371E-4,6.7E-6,B8IIIe,,3.4481,0.056,-3.263,5.04,0.047,0.042,90,,,,5.81,5.87,,5.908,5.977,5.986,,,,,,0.58834
77.225,39.488333,8186,LS   V +39  15,"(5.0, 8.0, 54.0)",8.0,V,05 08 54.0,+39 29 18,167.02,-0.41,Simbad,HD  32989,77.224789697,39.4882621958,0.0,0.0,90.0,32,05 08 53.94953,+39 29 17.7439,A,2020yCat.1350....0G,Star,*|**|IR|UV,-38.0,10.0,-1.267E-4,3.34E-5,B2IV,,0.6382,0.0251,0.142,-3.163,0.03,0.021,90,,,,8.05,7.99,,7.704,7.768,7.76,,,,,,0.637467
61.24375,58.659722,7876,LS   I +58 130,"(4.0, 4.0, 58.5)",7.6,V,04 04 58.5,+58 39 35,145.9,4.71,Simbad,V* RX Cam,61.2435942926,58.6597830081,0.0,0.0,90.0,193,04 04 58.46263,+58 39 35.2188,A,2020yCat.1350....0G,deltaCep,*|IR|SB*|V*|cC*,-37.48,0.07,-1.25E-4,2.0E-7,G2Ib+A0V,,0.6313,0.043,-0.205,-0.428,0.05,0.04,90,,,,8.85,7.7,,5.316,4.864,4.701,,,,,,0.365019
84.4625,33.967222,8461,LS   V +33  39,"(5.0, 37.0, 51.0)",8.6,V,05 37 51.0,+33 58 02,174.85,1.25,Simbad,HD 245493,84.462272659,33.9672324149,0.0,0.0,90.0,39,05 37 50.94544,+33 58 02.0367,A,2020yCat.1350....0G,Be*,*|Be*|Em*|IR|UV,-37.0,10.0,-1.234E-4,3.34E-5,B2III:e,,0.8522,0.03,-0.264,-3.546,0.033,0.022,90,,,,8.46,8.44,,8.101,7.942,7.752,,,,,,0.679804
70.86,54.068056,8031,LS   V +53  27,"(4.0, 43.0, 26.4)",9.6,V,04 43 26.4,+54 04 05,152.92,5.31,Simbad,HD 232992,70.860121219,54.0679799609,0.0,0.0,90.0,7,04 43 26.42909,+54 04 04.7279,A,2020yCat.1350....0G,Star,*|IR,-35.45,0.45,-1.182E-4,1.5E-6,A7,,0.1996,0.0135,0.252,-0.626,0.015,0.012,90,,,,10.26,9.62,,7.62,7.298,7.173,,,,,,0.37485
77.827917,39.136389,8216,LS   V +39  17,"(5.0, 11.0, 18.7)",9.7,V,05 11 18.7,+39 08 11,167.58,-0.25,Simbad,HD 277714,77.828170813,39.1361988316,0.0,0.0,90.0,13,05 11 18.76100,+39 08 10.3158,A,2020yCat.1350....0G,Star,*|IR|UV,-33.242,0.352,-1.109E-4,1.2E-6,B3,,0.8755,0.0631,0.767,-2.943,0.072,0.05,90,,,,9.74,9.63,,9.261,9.263,9.255,,,,,,0.985384
