source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_transits,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_sigma5d_max,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,bp_g,bp_rp,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_quasar,classprob_dsc_combmod_star,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,dec_pseudocolour_corr,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,duplicated_source,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,g_rp,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,has_rvs,has_xp_continuous,has_xp_sampled,in_andromeda_survey,in_galaxy_candidates,in_qso_candidates,ipd_frac_multi_peak,ipd_frac_odd_win,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,libname_gspphot,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,matched_transits,matched_transits_removed,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,new_matched_transits,non_single_star,nu_eff_used_in_astrometry,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,parallax_pseudocolour_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_blended_transits,phot_bp_n_contaminated_transits,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_obs,phot_variable_flag,pm,pmdec_pseudocolour_corr,pmra_pmdec_corr,pmra_pseudocolour_corr,pseudocolour,pseudocolour_error,ra_dec_corr,radial_velocity,radial_velocity_error,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ra_pseudocolour_corr,ref_epoch,rv_amplitude_robust,rv_atm_param_origin,rv_chisq_pvalue,rv_expected_sig_to_noise,rv_method_used,rv_nb_deblended_transits,rv_nb_transits,rv_renormalised_gof,rvs_spec_sig_to_noise,rv_template_fe_h,rv_template_logg,rv_template_teff,rv_time_duration,rv_visibility_periods_used,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,solution_id,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,vbroad,vbroad_error,vbroad_nb_transits,visibility_periods_used,source_id,ra,dec,l,b,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax_error,pmra_error,pmdec_error,ruwe,bp_g,bp_rp,pm,radial_velocity,radial_velocity_error,teff_gspphot,RAJ2000,DEJ2000,Simbad,main_id,main_type,other_types,radvel,radvel_err,sp_type,V,vtan,icrstogal,gal_cord,gal_X,gal_Y,gal_Z,abs_g
1671376219613009408,Gaia DR3 1671376219613009408,208.81439024367603,66.11682961939297,113.0106276167021,49.764040546844164,152.49839118914454,66.42571638931369,0.2928247652454954,1.0002826701522785,-3.6943289184883636,9.065795,8.973586,9.18104,0.02873939,0.02857167,0.033005904,0.04023621,0.03651498,1.0162207,0.0529,0.0479,0.0576,3643.6348,0.32125574,124.26261,0.42836708,36,5,313,318,318,31,0,0.05636139,0.0529,0.048,0.0576,-0.09220886,-0.20745373,5.106614E-13,1.02235535E-13,0.9999996,0.26503822,-0.022535322,0.04270343,,7452.763,7360.816,7551.391,0,0.0285,0.0258,0.0311,-0.115244865,,,,1,0,1,1,0,1,1,0,0,0,1,0,0.010244899,89.59948,A,2.7725,2.758,2.7859,40,3,-1.3552,-1.3579,-1.3528,14,0,1.8187456,8.87189,-0.26379177,-0.15707597,,3515462.9891763395,13884.114,253.20038,5,0,38,1.1680446,4452754.370996015,7710.159,577.5178,332,0,1685552.7200744972,13464.383,125.186035,21,0,38,VARIABLE,3.827353,,-0.03407387,,,,-0.05123485,,,97230719,-0.13403822,0.13057052,-0.21750975,,2016.0,,,,,,,,,,,,,,,,,,,,,,,1636148068921376768,16802.328,16689.674,16920.367,,,,24,1671376219613009408,208.81439024367603,66.11682961939297,113.0106276167021,49.764040546844164,0.2928247652454954,1.0002826701522785,-3.6943289184883636,9.065795,8.973586,9.18104,0.033005904,0.04023621,0.03651498,1.0162207,-0.09220886,-0.20745373,3.827353,,,16802.328,13 55 15.5,+66 07 00,Simbad,HD 121800,Star,*|IR|UV,-12.0,4.6,B5V,9.01,62.08466260632918,"(-0.8622834488194944, 2.030365332059099, 2.6069884538018893)","(-0.8622834488194943, 2.0303653320590986, 2.6069884538018897)",-0.8622834488194943,2.0303653320590986,2.6069884538018897,-3.6011659810559866
775029739076581248,Gaia DR3 775029739076581248,162.0979663421485,37.57031039846401,183.14027402411202,62.15202221295605,148.28621793689572,27.548964782985546,0.7836898562311427,0.38937030761485847,2.1313777009050026,6.973444,6.8313384,7.2043676,0.052014545,0.06148879,0.08061773,0.071640424,0.08356477,1.1129957,0.1388,0.1372,0.1406,7499.4634,0.5583291,273.6476,2.5452251,30,0,262,262,262,31,0,0.12664017,0.1347,0.1331,0.1364,-0.14210558,-0.37302923,2.5445799E-9,5.0943055E-10,4.9933235E-5,-0.26546463,-0.27261847,-0.08557617,,2408.51,2358.0298,2441.6714,0,0.0755,0.0746,0.0765,-0.23092365,,,,0,0,1,1,0,1,1,0,0,0,0,0,0.0073405947,54.832268,OB,3.6893,3.6819,3.7006,30,1,0.0028,4.0E-4,0.0081,12,0,1.8788198,9.721061,-0.11075055,0.37207812,,2.528607775917991E7,26805.455,943.31836,0,0,29,1.1669167,3.0589269090341404E7,15519.699,1970.9962,254,0,1.0409051708603991E7,15789.3545,659.24493,0,0,24,NOT_AVAILABLE,2.1666517,,-0.32226837,,,,-0.29609123,,,1043003812,-0.04704975,0.009860832,-0.1383258,,2016.0,,,,,,,,,,,,,,,,,,,,,,,1636148068921376768,32465.291,32370.186,32507.986,,,,17,775029739076581248,162.0979663421485,37.57031039846401,183.14027402411202,62.15202221295605,0.7836898562311427,0.38937030761485847,2.1313777009050026,6.973444,6.8313384,7.2043676,0.08061773,0.071640424,0.08356477,1.1129957,-0.14210558,-0.37302923,2.1666517,,,32465.291,10 48 23.5,+37 34 13,Simbad,HD  93521,Star,*|IR|UV|X,-14.1,3.2,O9.5IIInn,7.03,13.13223032756409,"(-0.595166266084411, -0.03265264678020352, 1.128239851206673)","(-0.5951662660844108, -0.03265264678020364, 1.1282398512066734)",-0.5951662660844108,-0.03265264678020364,1.1282398512066734,-3.555834872651081
1012746180227105536,Gaia DR3 1012746180227105536,136.5939008246837,49.6113854636446,169.29638691291663,41.87948993589098,123.49011522738135,31.446442176277603,0.9415344440328314,2.3044362259483235,-1.3579603752130844,7.465282,7.358641,7.6349397,0.036570705,0.033529993,0.050739355,0.042178974,0.038516503,1.1254992,,,,6677.701,0.43612772,184.44583,3.7206874,53,2,457,459,459,31,0,0.06021742,,,,-0.106640816,-0.27629852,5.1034936E-13,1.02173065E-13,0.9999997,-0.03833278,-0.4818908,0.19719592,,,,,1,,,,-0.1696577,,,,0,0,0,1,0,1,1,0,0,0,0,0,0.02451833,155.40706,,,,,64,7,,,,28,0,1.8351852,18.556293,-0.001916865,0.23005658,,1.5558235652596878E7,8915.176,1745.1406,58,0,58,1.1601052,1.9446161864763334E7,6827.0845,2848.3845,529,0,7001357.50345338,4244.6816,1649.4423,55,0,55,NOT_AVAILABLE,2.6747866,,0.068585545,,,,-0.04552462,,,1546293930,-0.3124482,0.24514613,-0.14585775,,2016.0,,,,,,,,,,,,,,,,,,,,,,,1636148068921376768,,,,,,,22,1012746180227105536,136.5939008246837,49.6113854636446,169.29638691291663,41.87948993589098,0.9415344440328314,2.3044362259483235,-1.3579603752130844,7.465282,7.358641,7.6349397,0.050739355,0.042178974,0.038516503,1.1254992,-0.106640816,-0.27629852,2.6747866,,,,09 06 22.5,+49 36 41,Simbad,HD  77770,Star,*|IR|UV,-14.0,4.4,B2IV,7.485,13.494180990445965,"(-0.7770254132211061, 0.1468712254824246, 0.7090192792128154)","(-0.7770254132211062, 0.14687122548242443, 0.7090192792128152)",-0.7770254132211062,0.14687122548242443,0.7090192792128152,-2.665536938089099
273020664305470464,Gaia DR3 273020664305470464,70.86012312561175,54.067977179805936,152.91871182395406,5.305250874182053,76.95957373681811,31.491762256533914,0.1996266502738946,0.25174027747705824,-0.6257375431470781,9.278187,9.768266,8.590744,0.010403324,0.008505679,0.013467307,0.014763257,0.011748447,0.98703134,,,,716.8298,0.0728093,7.250545,-0.34403628,46,2,405,407,407,31,0,0.02082654,,,,0.49007893,1.1775217,5.098542E-13,1.6769718E-10,0.99999505,-0.12129107,-0.1717707,0.19755676,,,,,0,,,,0.6874428,8.267674,0.0061957724,8,0,0,0,1,0,1,1,0,0,0,0,0,0.015236,147.63211,,,,,51,0,,,,20,0,1.4819793,14.823056,0.07469856,0.0733809,,1690870.8193479755,703.3415,2404.054,27,0,47,1.2546284,3661610.815217013,1015.44464,3605.9187,419,0,2903090.235473593,913.73224,3177.1782,0,0,45,NOT_AVAILABLE,0.67447805,,-0.100832954,,,,-0.032115184,-39.46187,0.17888172,416778126,0.1921405,0.2145678,-0.1775122,,2016.0,1.3332939,555,0.29193076,160.70047,1,3,13,0.16622676,,0.0,2.0,7000.0,759.06146,9,,,,,,,,,1636148068921376768,,,,,,,20,273020664305470464,70.86012312561175,54.067977179805936,152.91871182395406,5.305250874182053,0.1996266502738946,0.25174027747705824,-0.6257375431470781,9.278187,9.768266,8.590744,0.013467307,0.014763257,0.011748447,0.98703134,0.49007893,1.1775217,0.67447805,-39.46187,0.17888172,,04 43 26.4,+54 04 05,Simbad,HD 232992,Star,*|IR,-35.45,0.45,A7,9.62,16.048812883078554,"(-4.441027407609213, 2.2707586854143695, 0.4631738305709041)","(-4.441027407609213, 2.27075868541437, 0.4631738305709035)",-4.441027407609213,2.27075868541437,0.4631738305709035,-4.2207204030617
3431894343721892352,Gaia DR3 3431894343721892352,96.52692357423831,25.57819053606159,187.32757730682408,6.218660888460657,95.88954289581906,2.272250622252126,0.25801556203618453,-0.10168895031407663,-1.0019015829478914,9.522066,9.855113,8.97098,0.018621193,0.017208198,0.02183481,0.025038693,0.018623553,1.1400902,,,,470.05762,0.116134375,12.76834,2.6488845,22,4,187,191,191,31,0,0.034681745,,,,0.3330469,0.88413334,3.0254194E-10,2.0866238E-9,0.9999771,-0.45653245,-0.1963294,0.107401475,,,,,0,,,,0.5510864,8.684391,0.012644995,5,0,0,0,1,0,0,0,0,0,0,0,0,0.06526045,0.4707926,,,,,23,1,,,,8,0,1.5452636,11.816708,0.0765941,0.025904313,,1560887.8614134172,2159.3938,722.8361,0,0,23,1.2329156,2924961.8901321297,1388.3035,2106.8606,188,0,2045343.3799533276,1415.1792,1445.2893,0,0,23,NOT_AVAILABLE,1.0070488,,0.031185878,,,,-0.07826561,48.175556,1.5454217,1404245522,0.117458686,0.1386114,0.013951342,,2016.0,11.583729,555,0.0,99.97956,1,3,9,14.672799,,-2.0,1.5,6750.0,933.7487,9,,,,,,,,,1636148068921376768,,,,,,,16,3431894343721892352,96.52692357423831,25.57819053606159,187.32757730682408,6.218660888460657,0.25801556203618453,-0.10168895031407663,-1.0019015829478914,9.522066,9.855113,8.97098,0.02183481,0.025038693,0.018623553,1.1400902,0.3330469,0.88413334,1.0070488,48.175556,1.5454217,,06 26 06.4,+25 34 42,Simbad,HD 256959,TTau*,*|Er*|IR|TT*,,,A0,9.7,18.53950970004693,"(-3.8214631479262686, -0.4914103458136363, 0.4198318042009241)","(-3.8214631479262695, -0.49141034581363174, 0.4198318042009242)",-3.8214631479262695,-0.49141034581363174,0.4198318042009242,-3.41970449532686
482818271843093376,Gaia DR3 482818271843093376,73.51254990847781,66.34270799687302,144.06555247725865,14.042402672529951,80.979609824899,43.418943285570386,0.591571207421435,0.22171033788968408,7.197702105342488,4.2128644,4.2284613,4.1490684,0.072193176,0.078004345,0.13330707,0.0784392,0.10272069,1.1077144,0.1531,0.1468,0.1599,82332.78,1.0041641,2161.47,3.0290847,48,15,408,423,423,31,0,0.14742266,0.1598,0.1532,0.1669,0.015596867,0.07939291,1.9208006E-10,3.8454854E-11,3.7692587E-6,0.15901725,-0.10323786,0.1680463,,1039.4166,1036.305,1042.2823,0,0.0823,0.0789,0.086,0.06379604,,,,0,0,0,1,0,1,1,0,0,0,0,0,0.06938994,152.1841,PHOENIX,1.8901,1.8888,1.8913,52,16,-0.9277,-0.9499,-0.9142,16,0,1.7596251,4.4376583,0.21506123,0.19313319,,2.779920249555603E8,583963.0,476.0439,0,0,50,1.1612828,3.8886692274116886E8,448911.66,866.2438,415,0,1.735924488341764E8,588062.94,295.19366,0,0,47,NOT_AVAILABLE,7.201116,,0.11222145,,,,-0.16980258,,,259292475,0.0687758,0.23306942,0.07715947,,2016.0,,,,,,,,,,,,,,,,,,,,,,,1636148068921376768,9997.991,9993.217,9999.615,,,,22,482818271843093376,73.51254990847781,66.34270799687302,144.06555247725865,14.042402672529951,0.591571207421435,0.22171033788968408,7.197702105342488,4.2128644,4.2284613,4.1490684,0.13330707,0.0784392,0.10272069,1.1077144,0.015596867,0.07939291,7.201116,,,9997.991,04 54 03.0,+66 20 33,Simbad,* alf Cam,BlueSG*,*|Em*|IR|SB*|UV|X|s*b,10.0,5.0,O9Ia,4.29,57.821105853164845,"(-1.3278072717581804, 0.962389319410794, 0.4101618019216737)","(-1.327807271758181, 0.9623893194107929, 0.41016180192167334)",-1.327807271758181,0.9623893194107929,0.41016180192167334,-6.927100459331523
190835189486719616,Gaia DR3 190835189486719616,83.05770825764375,40.066086383049154,169.10814436250732,3.5985795104985967,84.45626977075888,16.760309156386345,0.17020511347641132,0.22374041312392873,0.8428408260013506,9.642372,9.961786,9.129629,0.016803604,0.013093097,0.018323498,0.02296689,0.015946688,1.2984022,2.1045,2.0375,2.1182,898.09344,0.11840179,17.607262,6.508831,30,3,263,266,266,31,0,0.032490578,2.2786,2.2117,2.2921,0.31941414,0.83215714,4.0709713E-10,4.681475E-9,0.9999931,-0.2644585,-0.21814442,0.22419575,,4283.3657,4073.2158,5172.168,0,1.1542,1.1166,1.1618,0.512743,,,,0,0,1,1,0,1,1,0,0,0,0,0,0.049978286,169.16853,A,2.8669,2.6638,2.9178,31,0,-0.8465,-0.8497,-0.8444,10,0,1.5621583,9.288898,0.1354369,0.08131083,,1414823.2857118791,3123.9104,452.90137,0,0,29,1.2153938,2618170.816511364,2035.1284,1286.4893,273,0,1767285.3230601347,3581.6082,493.43347,0,0,29,NOT_AVAILABLE,0.87203234,,-0.19990808,,,,-0.04189952,,,69643040,-0.01389114,0.195798,0.061178092,,2016.0,,,,,,,,,,,,,,,,,,,,,,,1636148068921376768,19516.094,17894.906,19878.723,,,,17,190835189486719616,83.05770825764375,40.066086383049154,169.10814436250732,3.5985795104985967,0.17020511347641132,0.22374041312392873,0.8428408260013506,9.642372,9.961786,9.129629,0.018323498,0.02296689,0.015946688,1.2984022,0.31941414,0.83215714,0.87203234,,,19516.094,05 32 13.8,+40 03 58,Simbad,BD+39  1328,BlueSG*,*|IR|s*b,-71.9,4.7,O8.5Iab(n)(f),9.92,24.336246726189756,"(-5.758049015375435, 1.1079766562197537, 0.36876551433167415)","(-5.758049015375436, 1.1079766562197537, 0.36876551433167376)",-5.758049015375436,1.1079766562197537,0.36876551433167376,-4.202764982678149
195645832035222400,Gaia DR3 195645832035222400,81.65634289596129,43.01971193380546,166.05670997750806,4.344730348424417,83.52694400971896,19.76773290201901,0.2262468320299801,0.13779353200038513,0.3107467625621876,10.021754,10.157121,9.744317,0.01582079,0.010496587,0.01757986,0.024358839,0.017419035,0.97691303,1.355,1.3414,1.3607,1132.3916,0.10824113,17.967474,-0.6302665,47,8,403,411,411,31,0,0.03425803,1.4176,1.4053,1.4231,0.13536644,0.41280365,2.7773097E-9,0.0049096593,5.450018E-5,0.030523507,-0.40188608,0.15557449,,2384.217,1984.1271,2979.3699,1,0.7364,0.7281,0.7397,0.2774372,,,,0,0,1,1,0,1,1,0,0,0,1,0,0.031990197,176.92792,OB,3.529,3.3745,3.7589,48,3,0.2346,-0.0101,0.2738,12,0,1.6626917,12.869661,-0.06363739,0.13561127,,1181867.3863328944,484.57523,2438.976,4,0,46,1.1836952,1846057.125112498,552.67365,3340.23,404,0,1003301.5978194323,250.5,4005.196,8,0,48,NOT_AVAILABLE,0.33992735,,-0.116740055,,,,-0.47591358,,,1708237294,-0.053109974,0.24596007,-0.19070806,,2016.0,,,,,,,,,,,,,,,,,,,,,,,1636148068921376768,18496.635,18181.56,18685.61,,,,17,195645832035222400,81.65634289596129,43.01971193380546,166.05670997750806,4.344730348424417,0.2262468320299801,0.13779353200038513,0.3107467625621876,10.021754,10.157121,9.744317,0.01757986,0.024358839,0.017419035,0.97691303,0.13536644,0.41280365,0.33992735,,,18496.635,05 26 37.5,+43 01 11,Simbad,HD 278115,Star,*|IR,-57.3,,B0.5V,10.15,7.136696132739459,"(-4.277388813305486, 1.0619770792291336, 0.3348431336286781)","(-4.277388813305485, 1.0619770792291374, 0.3348431336286775)",-4.277388813305485,1.0619770792291374,0.3348431336286775,-3.205333465951492
471084764792809728,Gaia DR3 471084764792809728,67.21839987496374,59.38621085255215,147.5966870022681,7.373192797488203,75.69115097620691,37.07345514533533,0.38746510547651414,2.144790402140145,-1.5262102991404785,10.150319,10.299381,9.85275,0.019449543,0.014186196,0.026907943,0.028531203,0.02360082,1.1099699,1.3543,1.3522,1.3558,4796.7896,0.21884874,92.09507,3.857094,74,13,637,650,650,95,0,0.04100414,1.4215,1.4194,1.423,0.14906216,0.44663143,2.5445799E-9,5.0943055E-10,4.9933235E-5,0.040536173,0.26962754,0.24579106,-0.15919544,2770.1753,2758.13,2794.6409,0,0.7357,0.7345,0.7366,0.29756927,,,,0,0,1,1,0,1,1,0,0,0,0,0,0.025545422,8.082781,OB,3.3851,3.3769,3.3891,79,0,0.1156,0.099,0.1349,79,0,,14.399655,0.07798636,-0.104463,0.01602307,1036727.3532540054,1634.8698,634.1345,0,0,74,1.1858416,1639906.5504981466,1228.5144,1334.8696,652,0,907942.0694887991,1688.2252,537.8086,0,0,74,NOT_AVAILABLE,2.6323836,-0.003067688,-0.18729044,0.099333294,1.6392118,0.004232495,-0.19648351,,,1350653120,0.19000496,0.29486832,-0.103272,-0.14286229,2016.0,,,,,,,,,,,,,,,,,,,,,,,1636148068921376768,17657.518,17585.988,17716.729,,,,21,471084764792809728,67.21839987496374,59.38621085255215,147.5966870022681,7.373192797488203,0.38746510547651414,2.144790402140145,-1.5262102991404785,10.150319,10.299381,9.85275,0.026907943,0.028531203,0.02360082,1.1099699,0.14906216,0.44663143,2.6323836,,,17657.518,04 28 52.4,+59 23 10,Simbad,BD+59   804,Star,*|IR,,,B2,10.21,32.27083381678828,"(-2.1610093475496264, 1.371593520754463, 0.33120816192892977)","(-2.1610093475496264, 1.3715935207544623, 0.3312081619289299)",-2.1610093475496264,1.3715935207544623,0.3312081619289299,-1.9085180165157567
195365594010029440,Gaia DR3 195365594010029440,81.8173225274307,42.29640171071812,166.72620353948676,4.042457924612015,83.60574592753936,19.03857722565481,0.226345382678207,-0.0678877470468593,-0.1701757136232992,9.356865,9.571415,8.957047,0.020947859,0.013267096,0.02403782,0.028138772,0.018747987,1.1833677,,,,799.1085,0.13199149,20.004345,4.07675,30,3,263,266,266,31,1,0.03982875,,,,0.21455002,0.6143675,5.137691E-13,6.458071E-9,0.9999287,-0.25667164,-0.22877328,-0.052696668,,,,,0,,,,0.39981747,,,,0,0,0,1,0,1,1,0,0,0,0,0,0.06114809,3.238288,,,,,35,0,,,,9,0,1.6098826,9.41622,0.1105592,0.01549698,,2026986.5193187133,2205.887,918.8986,0,0,28,1.2035109,3405656.3402272086,1398.7019,2434.8694,260,0,2071758.0602824076,1833.8318,1129.7427,0,0,28,NOT_AVAILABLE,0.18321714,,-0.24606873,,,,-0.21646939,,,1277829876,0.40391475,-0.035365812,0.103306144,,2016.0,,,,,,,,,,,,,,,,,,,,,,,1636148068921376768,,,,,,,16,195365594010029440,81.8173225274307,42.29640171071812,166.72620353948676,4.042457924612015,0.226345382678207,-0.0678877470468593,-0.1701757136232992,9.356865,9.571415,8.957047,0.02403782,0.028138772,0.018747987,1.1833677,0.21455002,0.6143675,0.18321714,,,,05 27 16.2,+42 17 47,Simbad,HD 278199,Star,*|IR,,,B3,9.53,3.8449267020578337,"(-4.289296834285523, 1.0118757529516968, 0.31145181383680365)","(-4.289296834285523, 1.0118757529516982, 0.311451813836803)",-4.289296834285523,1.0118757529516982,0.311451813836803,-3.8692768022392467
