source_id,ra,dec,l,b,parallax,pmra,pmdec,parallax_error,pmra_error,pmdec_error,ruwe,bp_g,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,pm,Simbad,main_id,main_type,sp_type,radvel,vtan,plx,gal_cord,gal_Y,gal_X,plx_err,pmra,pm,pmdec,B,V,gal_Z
938228841240985728,98.90685277956142,32.57680165742925,181.9039154429051,11.175725850950892,2.4354472322923324,-3.2937191827975076,-2.1010652294008554,0.04006429,0.040877823,0.032985393,1.0204048,-0.03274727,-0.0644865,,,3.9067967,Simbad,V* V459 Aur,EB*,B8,-98.2,7.620203100774839,2.4354,"(-0.004723121064176342, -0.13352817143081583, 0.3882636096641687)",(-0.13352817143081583),(-0.004723121064176342),0.0401,-3.294,3.9069984634509654,-2.101,7.7,7.77,0.3882636096641687
272162358041333760,68.06862724538621,53.14370959465997,152.5018185285361,3.4548237742321977,0.9998267910372811,-0.0350882886412327,-1.1816930247200994,0.016576748,0.014922547,0.012530958,0.86253923,0.25192928,0.6796427,,,1.1822139,Simbad,BD+52   840,Star,OB-,-90.404,5.61808442314675,0.9998,"(-0.38319656727283, -0.5976100330566019, 0.7045727397575183)",(-0.5976100330566019),(-0.38319656727283),0.0166,-0.035,1.1825180957208026,-1.182,10.5,10.07,0.7045727397575183
190835189486719616,83.05770825764375,40.066086383049154,169.10814436250732,3.5985795104985967,0.17020511347641132,0.22374041312392873,0.8428408260013506,0.018323498,0.02296689,0.015946688,1.2984022,0.31941414,0.83215714,52.101414,17.753748,0.87203234,Simbad,BD+39  1328,BlueSG*,O8.5Iab(n)(f),-71.9,24.343131148187396,0.1702,"(-0.8302183421138368, -3.0625978372279707, 4.944899817688637)",(-3.0625978372279707),(-0.8302183421138368),0.0183,0.224,0.8722528520768721,0.843,10.28,9.92,4.944899817688637
195645832035222400,81.65634289596129,43.01971193380546,166.05670997750806,4.344730348424417,0.2262468320299801,0.13779353200038513,0.3107467625621876,0.01757986,0.024358839,0.017419035,0.97691303,0.13536644,0.41280365,,,0.33992735,Simbad,HD 278115,Star,B0.5V,-57.3,7.144792660450772,0.2262,"(-0.8550318819914954, -2.3362587293554875, 3.6544323974428923)",(-2.3362587293554875),(-0.8550318819914954),0.0176,0.138,0.3402425465002161,0.311,10.3,10.15,3.6544323974428923
3380459705169357952,103.90499331808707,24.008020110593385,191.71859789494619,11.557895984897083,0.6736962698126829,0.2982920816409337,-1.892523801658358,0.058401834,0.0553217,0.047959313,1.0223749,-0.09845829,-0.24123526,,,1.9158874,Simbad,HD  50767,Star,B2V,-51.4,13.511183219998564,0.6737,"(0.19222861355541726, -0.3500389835237261, 1.4296107953993378)",(-0.3500389835237261),(0.19222861355541726),0.0584,0.298,1.9163123784671576,-1.893,7.59,7.75,1.4296107953993378
188530789212836864,77.22479051565136,39.48824813792436,167.0236973531636,-0.41167938743880383,0.6381539142090454,0.14215048931810798,-3.1630304681145534,0.025061354,0.030231958,0.020574138,0.8652157,0.02895546,0.14323425,,,3.166223,Simbad,HD  32989,Star,B2IV,-38.0,23.565314431852673,0.6382,"(-0.2180731693665148, -0.9193499246560592, 1.2499748529614698)",(-0.9193499246560592),(-0.2180731693665148),0.0251,0.142,3.1661859615941697,-3.163,8.05,7.99,1.2499748529614698
182722859557158272,81.34099538476485,34.173950620027405,173.26292091035913,-0.7995021415496204,0.4355477998978161,-0.25356615705267416,-1.70604407594473,0.024608864,0.02646651,0.02017394,0.96038693,0.12426853,0.39366627,,,1.7247847,Simbad,HD  35314,Star,B8,-31.1,18.812453284841794,0.4355,"(-0.09463470673470319, -1.2703839826745587, 1.910433165498291)",(-1.2703839826745587),(-0.09463470673470319),0.0246,-0.254,1.7248049114314838,-1.706,8.62,8.46,1.910433165498291
256197930243124992,74.85477323909083,48.92184629965801,158.49087582806797,3.964442975722357,0.9899481186362589,1.9229643933940037,-1.8457267090979448,0.016456496,0.021886619,0.017365064,0.8839286,0.09546757,0.30719852,,,2.6654267,Simbad,BD+48  1191,Star,B,-28.448,12.790986262398222,0.9899,"(-0.3050794339746101, -0.5754733572159025, 0.772183309296023)",(-0.5754733572159025),(-0.3050794339746101),0.0165,1.923,2.665641518079912,-1.846,9.66,9.57,0.772183309296023
271963002839779712,66.3627438471611,52.04378007676187,152.58358265707457,1.9459308008482383,0.2036740036030719,-0.17797009654863113,-0.8305827257432425,0.014376059,0.015743762,0.012799887,0.9827562,0.43584824,1.0639629,,,0.8494357,Simbad,BD+51   921,Star,B0II,-27.3,19.8173151196164,0.2037,"(-1.8148799896668937, -3.0324033655655698, 3.407460981072962)",(-3.0324033655655698),(-1.8148799896668937),0.0144,-0.178,0.8498499387223635,-0.831,10.32,9.69,3.407460981072962
208590824807687424,78.15729499220089,44.435164841190925,163.44628675966663,3.0761242282932035,0.7699303752169089,-0.5546229860659297,-1.9896884451863845,0.04701355,0.069394186,0.044167496,1.2982359,0.01685667,0.10821056,,,2.0655427,Simbad,HD  33459,Star,B8,-26.6,12.746115349668859,0.7699,"(-0.28826407518673364, -0.7266114753596709, 1.0373055380183622)",(-0.7266114753596709),(-0.28826407518673364),0.047,-0.555,2.0659441079614083,-1.99,7.8,7.77,1.0373055380183622
205501270150651648,75.55180936570811,43.86181248312773,162.78412933582533,1.2361005411670112,0.22710062307444256,0.07818412940252376,-0.482953351780007,0.014775859,0.020125834,0.015325318,1.0059811,0.59121895,1.3540459,,,0.48924094,Simbad,BD+43  1168,SG*,B9Iab,-22.0,10.23326111354687,0.2271,"(-0.953263082668918, -2.586412694555099, 3.4338345340405647)",(-2.586412694555099),(-0.953263082668918),0.0148,0.078,0.4892575993033,-0.483,10.31,9.39,3.4338345340405647
204554380182819712,72.2449448753177,43.497953685590545,161.56693372442723,-0.8542873804612193,0.9782301166725528,0.43738855045417324,-2.347518856636663,0.019701077,0.022824034,0.019888392,0.93297076,0.05730343,0.20781612,,,2.3879182,Simbad,HD 276831,Star,B5,-21.952,11.597342862025526,0.9782,"(-0.2217123775669791, -0.634309498847681, 0.7704306439540116)",(-0.634309498847681),(-0.2217123775669791),0.0197,0.437,2.3883202107564356,-2.348,9.58,9.53,0.7704306439540116
233167456611311232,61.28270498132759,44.27823083348584,155.51582152927512,-5.999205792111702,0.4358181695318224,0.3409421429751371,-2.052053668273196,0.01914368,0.018279456,0.015296522,1.0033472,0.114123344,0.35939884,,,2.080184,Simbad,HD  25517,Star,B1V,-21.0,22.672484329695298,0.4358,"(-0.5960789613872847, -1.6260470029963736, 1.505320654729779)",(-1.6260470029963736),(-0.5960789613872847),0.0191,0.341,2.0801407065849884,-2.052,9.44,9.25,1.505320654729779
189097037701668096,78.60239237672214,41.09634697592459,166.34642740701196,1.3858831600311663,0.5830452256772338,2.0873368985395584,-1.9964756790931801,0.020392213,0.024335843,0.019082816,0.7876725,0.016187668,0.097644806,,,2.8884063,Simbad,HD 277773,Star,B3,-20.9,23.528663277788375,0.583,"(-0.28217491354354957, -0.9724031973043794, 1.3845383148000145)",(-0.9724031973043794),(-0.28217491354354957),0.0204,2.087,2.887833850931514,-1.996,9.49,9.49,1.3845383148000145
