_RAJ2000,_DEJ2000,ALS,Name,mag,n_mag,RAJ2000,DEJ2000,GLON,GLAT,Simbad
0.016667,63.908056,13354,LS   I +63  26,12.4,P,00 00 04.0,+63 54 29,117.32,1.6,Simbad
0.042083,62.294167,18110,"AA 17, 253, No. 210",11.5,P,00 00 10.1,+62 17 39,117.01,0.01,Simbad
0.05,62.135278,13355,LS   I +61 118,11.4,V,00 00 12.0,+62 08 07,116.98,-0.14,Simbad
0.081667,63.335556,18109,"AA 17, 253, No. 209",11.3,P,00 00 19.6,+63 20 08,117.23,1.03,Simbad
0.098333,63.793056,13356,LS   I +63  27,13.2,P,00 00 23.6,+63 47 35,117.33,1.48,Simbad
0.107083,62.662778,13357,LS   I +62  56,11.5,V,00 00 25.7,+62 39 46,117.11,0.37,Simbad
0.121667,67.216389,13358,LS   I +66   3,10.8,V,00 00 29.2,+67 12 59,118.02,4.83,Simbad
0.19875,62.5075,18111,"AA 17, 253, No. 215",10.5,P,00 00 47.7,+62 30 27,117.12,0.21,Simbad
0.19875,60.813889,18090,BD +60 2654,9.8,V,00 00 47.7,+60 48 50,116.79,-1.45,Simbad
0.2025,61.047222,13359,LS   I +60  65,11.5,V,00 00 48.6,+61 02 50,116.84,-1.22,Simbad
0.2425,62.574167,13360,LS   I +62  57,12.0,V,00 00 58.2,+62 34 27,117.16,0.27,Simbad
0.246667,62.081389,13361,LS   I +61 119,9.9,V,00 00 59.2,+62 04 53,117.06,-0.21,Simbad
0.284167,64.621944,13362,LS   I +64   7,11.4,P,00 01 08.2,+64 37 19,117.57,2.27,Simbad
0.286667,58.981111,13363,LS   I +58   8,11.2,V,00 01 08.8,+58 58 52,116.48,-3.26,Simbad
0.297083,64.994722,13364,LS   I +64   8,10.5,P,00 01 11.3,+64 59 41,117.65,2.64,Simbad
0.308333,64.588333,13365,LS   I +64   9,13.6,P,00 01 14.0,+64 35 18,117.58,2.24,Simbad
0.310833,59.143056,13366,LS   I +58   9,11.3,V,00 01 14.6,+59 08 35,116.52,-3.1,Simbad
0.315417,60.355,13367,LS   I +60  66,7.9,V,00 01 15.7,+60 21 18,116.76,-1.91,Simbad
0.315417,63.242222,18091,BD +62 2345,10.0,P,00 01 15.7,+63 14 32,117.32,0.92,Simbad
0.353333,63.503889,18092,BD +62 2346,9.5,V,00 01 24.8,+63 30 14,117.39,1.17,Simbad
0.388333,64.512222,13368,LS   I +64  10,12.1,P,00 01 33.2,+64 30 44,117.6,2.16,Simbad
0.388333,63.546944,13369,LS   I +63  28,12.4,P,00 01 33.2,+63 32 49,117.41,1.21,Simbad
0.395417,64.623056,13370,LS   I +64  11,10.0,V,00 01 34.9,+64 37 23,117.62,2.27,Simbad
0.401667,64.339444,13371,LS   I +64  12,11.6,P,00 01 36.4,+64 20 22,117.57,1.99,Simbad
0.40375,61.2225,13372,LS   I +60  67,5.6,V,00 01 36.9,+61 13 21,116.97,-1.07,Simbad
0.410833,60.45,13373,LS   I +60  68,8.5,V,00 01 38.6,+60 27 00,116.83,-1.83,Simbad
0.4325,42.366944,16480,HR 9086,6.2,V,00 01 43.8,+42 22 01,113.22,-19.56,Simbad
0.441667,63.465833,13374,LS   I +63  29,12.9,P,00 01 46.0,+63 27 57,117.42,1.13,Simbad
0.445833,67.506389,13375,LS   I +67   6,10.1,V,00 01 47.0,+67 30 23,118.2,5.09,Simbad
0.44625,64.591944,13376,LS   I +64  13,12.0,P,00 01 47.1,+64 35 31,117.64,2.23,Simbad
0.455833,-3.0275,16605,HR 9087,5.1,V,00 01 49.4,-03 01 39,94.59,-63.14,Simbad
0.52625,62.405556,13377,LS   I +62  58,11.2,V,00 02 06.3,+62 24 20,117.25,0.08,Simbad
0.5425,67.429167,13378,LS   I +67   7,9.6,V,00 02 10.2,+67 25 45,118.22,5.01,Simbad
0.542917,67.409167,13379,LS   I +67   8,9.0,V,00 02 10.3,+67 24 33,118.21,4.99,Simbad
0.555417,67.418056,13380,LS   I +67   9,11.3,V,00 02 13.3,+67 25 05,118.22,5.0,Simbad
0.555833,60.436111,13381,LS   I +60  69,12.0,V,00 02 13.4,+60 26 10,116.89,-1.86,Simbad
0.571667,61.260278,13382,LS   I +60  70,11.7,V,00 02 17.2,+61 15 37,117.06,-1.05,Simbad
0.575,67.433333,17957,NGC 7288 # 29,11.6,V,00 02 18.0,+67 26 00,118.23,5.01,Simbad
0.577083,61.877222,13383,LS   I +61 120,11.8,V,00 02 18.5,+61 52 38,117.18,-0.44,Simbad
0.582917,-29.72,16179,HD 224990,5.0,V,00 02 19.9,-29 43 12,16.55,-78.9,Simbad
0.58375,67.573333,13384,LS   I +67  10,11.1,V,00 02 20.1,+67 34 24,118.26,5.15,Simbad
0.588333,63.47,13385,LS   I +63  30,13.0,P,00 02 21.2,+63 28 12,117.48,1.12,Simbad
0.595,62.901389,13386,LS   I +62  59,9.9,V,00 02 22.8,+62 54 05,117.38,0.56,Simbad
0.6125,67.706944,13387,LS   I +67  11,10.8,V,00 02 27.0,+67 42 25,118.3,5.28,Simbad
0.6325,60.595556,13388,LS   I +60  71,11.9,V,00 02 31.8,+60 35 44,116.96,-1.71,Simbad
0.635,61.113611,13389,LS   I +60  72,11.5,V,00 02 32.4,+61 06 49,117.06,-1.2,Simbad
0.637917,61.18,13390,LS   I +60  73,12.7,V,00 02 33.1,+61 10 48,117.07,-1.13,Simbad
0.638333,61.264167,18112,"AA 17, 253, No. 247",11.8,P,00 02 33.2,+61 15 51,117.09,-1.05,Simbad
0.779167,60.231944,6001,LS   I +59  26,12.3,V,00 03 07.0,+60 13 55,116.96,-2.08,Simbad
0.857083,63.640278,6002,LS   I +63  31,6.2,V,00 03 25.7,+63 38 25,117.63,1.26,Simbad
0.862917,55.550556,14738,HD 225095,7.9,V,00 03 27.1,+55 33 02,116.13,-6.69,Simbad
0.884583,60.982778,6004,LS   I +60  75,10.8,V,00 03 32.3,+60 58 58,117.15,-1.35,Simbad
0.884583,61.203333,6003,LS   I +60  74,11.0,V,00 03 32.3,+61 12 12,117.19,-1.13,Simbad
0.935417,61.001111,6005,LS   I +60  76,11.5,V,00 03 44.5,+61 00 04,117.18,-1.34,Simbad
0.937083,-17.336111,15812,HR 9098,4.6,V,00 03 44.9,-17 20 10,72.11,-75.26,Simbad
0.989167,61.103333,6006,LS   I +60  77,8.6,V,00 03 57.4,+61 06 12,117.23,-1.24,Simbad
1.012083,60.8475,6007,LS   I +60  78,10.4,V,00 04 02.9,+60 50 51,117.19,-1.49,Simbad
1.01375,64.243889,6008,LS   I +63  32,10.7,P,00 04 03.3,+64 14 38,117.81,1.84,Simbad
1.015417,62.221944,6009,LS   I +61 121,8.2,V,00 04 03.7,+62 13 19,117.44,-0.14,Simbad
1.035417,63.283056,6010,LS   I +63  33,12.3,P,00 04 08.5,+63 16 59,117.65,0.9,Simbad
1.046667,63.564722,6011,LS   I +63  34,11.5,P,00 04 11.2,+63 33 53,117.7,1.17,Simbad
